date;time(local time);altitude (m);longitude;latitude
2017-11-01;10:03:01.-1;200.80000305;77.07491302;28.48650360
2017-11-01;10:03:02.-1;200.80000305;77.07491302;28.48650360
2017-11-01;10:03:03.-1;200.80000305;77.07492065;28.48650360
2017-11-01;10:03:04.-1;200.80000305;77.07492065;28.48650360
2017-11-01;10:03:05.-1;200.80000305;77.07492065;28.48650360
2017-11-01;10:03:06.-1;200.89999390;77.07492065;28.48650360
2017-11-01;10:03:07.-1;200.89999390;77.07492065;28.48650742
2017-11-01;10:03:08.-1;200.89999390;77.07492828;28.48650742
2017-11-01;10:03:09.-1;200.89999390;77.07492828;28.48650742
2017-11-01;10:03:10.-1;200.89999390;77.07492828;28.48650742
2017-11-01;10:03:11.-1;201.00000000;77.07492828;28.48650742
2017-11-01;10:03:12.-1;201.00000000;77.07492828;28.48650360
2017-11-01;10:03:13.-1;201.00000000;77.07492828;28.48650360
2017-11-01;10:03:14.-1;201.00000000;77.07492828;28.48650360
2017-11-01;10:03:15.-1;201.00000000;77.07492065;28.48650360
2017-11-01;10:03:16.-1;201.00000000;77.07492065;28.48650360
2017-11-01;10:03:17.-1;201.00000000;77.07492065;28.48649979
2017-11-01;10:03:18.-1;201.00000000;77.07492065;28.48649979
2017-11-01;10:03:19.-1;201.00000000;77.07492065;28.48649979
2017-11-01;10:03:20.-1;201.00000000;77.07492065;28.48649406
2017-11-01;10:03:21.-1;201.00000000;77.07492065;28.48649406
2017-11-01;10:03:22.-1;201.00000000;77.07492065;28.48649406
2017-11-01;10:03:23.-1;201.10000610;77.07492065;28.48649406
2017-11-01;10:03:24.-1;201.10000610;77.07491302;28.48649406
2017-11-01;10:03:25.-1;201.10000610;77.07491302;28.48649406
2017-11-01;10:03:26.-1;201.10000610;77.07491302;28.48649406
2017-11-01;10:03:27.-1;201.10000610;77.07491302;28.48649025
2017-11-01;10:03:28.-1;201.10000610;77.07491302;28.48649025
2017-11-01;10:03:29.-1;201.10000610;77.07491302;28.48649025
2017-11-01;10:03:30.-1;201.10000610;77.07491302;28.48649025
2017-11-01;10:03:31.-1;201.10000610;77.07491302;28.48649025
2017-11-01;10:03:32.-1;201.10000610;77.07491302;28.48649025
2017-11-01;10:03:33.-1;201.10000610;77.07491302;28.48649025
2017-11-01;10:03:34.-1;201.10000610;77.07491302;28.48649025
2017-11-01;10:03:35.-1;201.10000610;77.07491302;28.48648643
2017-11-01;10:03:36.-1;201.10000610;77.07491302;28.48648643
2017-11-01;10:03:37.-1;201.10000610;77.07492065;28.48648643
2017-11-01;10:03:38.-1;201.10000610;77.07492065;28.48648643
2017-11-01;10:03:39.-1;201.10000610;77.07492065;28.48648643
2017-11-01;10:03:40.-1;201.10000610;77.07492065;28.48648643
2017-11-01;10:03:41.-1;201.10000610;77.07492065;28.48648643
2017-11-01;10:03:42.-1;201.10000610;77.07492065;28.48649025
2017-11-01;10:03:43.-1;201.10000610;77.07492065;28.48649025
2017-11-01;10:03:44.-1;201.10000610;77.07492065;28.48648643
2017-11-01;10:03:45.-1;201.10000610;77.07492065;28.48648643
2017-11-01;10:03:46.-1;201.10000610;77.07492065;28.48648643
2017-11-01;10:03:47.-1;201.10000610;77.07492828;28.48649025
2017-11-01;10:03:48.-1;201.10000610;77.07492828;28.48649025
2017-11-01;10:03:49.-1;201.10000610;77.07492828;28.48649025
2017-11-01;10:03:50.-1;201.10000610;77.07492828;28.48649025
2017-11-01;10:03:51.-1;201.10000610;77.07492828;28.48649025
2017-11-01;10:03:52.-1;201.10000610;77.07492828;28.48649025
2017-11-01;10:03:53.-1;201.10000610;77.07492828;28.48649025
2017-11-01;10:03:54.-1;201.10000610;77.07492828;28.48649025
2017-11-01;10:03:55.-1;201.10000610;77.07492828;28.48649025
2017-11-01;10:03:56.-1;201.10000610;77.07492828;28.48649025
2017-11-01;10:03:57.-1;201.10000610;77.07492828;28.48649025
2017-11-01;10:03:58.-1;201.10000610;77.07492828;28.48649025
2017-11-01;10:03:59.-1;201.10000610;77.07492828;28.48649025
2017-11-01;10:04:00.-1;201.10000610;77.07492828;28.48649025
2017-11-01;10:04:01.-1;201.10000610;77.07492828;28.48649025
2017-11-01;10:04:02.-1;201.10000610;77.07492828;28.48649025
2017-11-01;10:04:03.-1;201.10000610;77.07492828;28.48649025
2017-11-01;10:04:04.-1;201.10000610;77.07492828;28.48649025
2017-11-01;10:04:05.-1;201.10000610;77.07492828;28.48649025
2017-11-01;10:04:06.-1;201.10000610;77.07492828;28.48649406
2017-11-01;10:04:07.-1;201.10000610;77.07492828;28.48649406
2017-11-01;10:04:08.-1;201.10000610;77.07492828;28.48649025
2017-11-01;10:04:09.-1;201.10000610;77.07492828;28.48649406
2017-11-01;10:04:10.-1;201.10000610;77.07492828;28.48649406
2017-11-01;10:04:11.-1;201.10000610;77.07492828;28.48649406
2017-11-01;10:04:12.-1;201.10000610;77.07492828;28.48649406
2017-11-01;10:04:13.-1;201.10000610;77.07492828;28.48649406
2017-11-01;10:04:14.-1;201.10000610;77.07492828;28.48649406
2017-11-01;10:04:15.-1;201.10000610;77.07492828;28.48649406
2017-11-01;10:04:16.-1;201.10000610;77.07492828;28.48649406
2017-11-01;10:04:17.-1;201.10000610;77.07492828;28.48649406
2017-11-01;10:04:18.-1;201.10000610;77.07492828;28.48649406
2017-11-01;10:04:19.-1;201.10000610;77.07492828;28.48649406
2017-11-01;10:04:20.-1;201.10000610;77.07492828;28.48649406
2017-11-01;10:04:21.-1;201.10000610;77.07492828;28.48649406
2017-11-01;10:04:22.-1;201.10000610;77.07492828;28.48649406
2017-11-01;10:04:23.-1;201.10000610;77.07492828;28.48649406
2017-11-01;10:04:24.-1;201.10000610;77.07492828;28.48649406
2017-11-01;10:04:25.-1;201.10000610;77.07492828;28.48649406
2017-11-01;10:04:26.-1;201.10000610;77.07492828;28.48649406
2017-11-01;10:04:27.-1;201.10000610;77.07492828;28.48649406
2017-11-01;10:04:28.-1;201.19999695;77.07492828;28.48649406
2017-11-01;10:04:29.-1;201.19999695;77.07492828;28.48649406
2017-11-01;10:04:30.-1;201.19999695;77.07492828;28.48649979
2017-11-01;10:04:31.-1;201.19999695;77.07492828;28.48649979
2017-11-01;10:04:32.-1;201.19999695;77.07492828;28.48649979
2017-11-01;10:04:33.-1;201.19999695;77.07492828;28.48649979
2017-11-01;10:04:34.-1;201.19999695;77.07492828;28.48650360
2017-11-01;10:04:35.-1;201.19999695;77.07492828;28.48650360
2017-11-01;10:04:36.-1;201.19999695;77.07492828;28.48650360
2017-11-01;10:04:37.-1;201.19999695;77.07492828;28.48650360
2017-11-01;10:04:38.-1;201.19999695;77.07492828;28.48650360
2017-11-01;10:04:39.-1;201.19999695;77.07492828;28.48650360
2017-11-01;10:04:40.-1;201.19999695;77.07492828;28.48650360
2017-11-01;10:04:41.-1;201.19999695;77.07492828;28.48650360
2017-11-01;10:04:42.-1;201.19999695;77.07492828;28.48650360
2017-11-01;10:04:43.-1;201.19999695;77.07492828;28.48650360
2017-11-01;10:04:44.-1;201.19999695;77.07492828;28.48650360
2017-11-01;10:04:45.-1;201.19999695;77.07492828;28.48650360
2017-11-01;10:04:46.-1;201.19999695;77.07492065;28.48650360
2017-11-01;10:04:47.-1;201.19999695;77.07492065;28.48650360
2017-11-01;10:04:48.-1;201.19999695;77.07492065;28.48650360
2017-11-01;10:04:49.-1;201.19999695;77.07492065;28.48650742
